Fiscal Year,Event ID,Security Category Name,Public Event Name,Event Created Date,Event Date,Event Goal($),Active Registrations,Inactive Registrations,Total Fees Paid,Total of All Confirmed Gifts($),Total Online Gifts($),Teams,Captains,Average Team Size,Team pages with custom URL,Emails Sent,Personal pages with custom URL,Total Offline Confirmed Gifts($),Self Donors,Total From Participant($),Non-self Donors,Total Not From Participant($),Total Team Gifts($),Total Event Gifts($),Total Offline Unconfirmed Gifts($),Street Address,City,State,Zip Code,Internal Event Name,Previous Event ID
2014,22786,KSG Bike Events,Bike MS: Wichita Ride 2014,9/6/2013 8:17,9/6/2014 15:47,118609,118,2,2530,97941.73,41744.18,16,16,5,0,1934,4,56197.55,51,10269.18,69,89873.04,845,6770,2100.49,81 Lake Road,Pratt,KS,67124,"Wichita, Kansas Bike MS 2014",20080
2015,25116,KSG Bike Events,Bike MS: Kansas City Ride 2015,9/11/2014 15:44,9/19/2015 16:50,1262860,1480,9,35390,1152420.29,613913.36,97,105,12,26,24630,76,538506.93,716,161773.77,773,1076503,56965,28930,33293.48,1200 E. 151st Street,Olathe,KS,66062,KSG 2015 Bike MS: Kansas City Ride,22790
2017,28812,KSG Bike Events,Bike MS: Nebraska Ride 2017,9/22/2016 23:55,9/9/2017 9:43,100000,178,2,5132,81514.11,60459.11,21,21,5,5,3260,14,21055,106,17190.11,74,71165,780,1290,3700,,Omaha,NE,68102,KSG 2017 Bike MS: Nebraska,27079
2013,20077,KSG Bike Events,Bike MS 2013 Kansas City Ride,8/30/2012 14:28,9/14/2013 10:43,1328000,1864,14,37606.28,1262562.18,556488,105,123,14,17,36109,120,706074.18,759,124841.69,1119,1145198.98,8122,84850.4,7348.49,1200 East 151st Street,Olathe,KS,66062,KSG Bike MS 2013 Kansas City Ride,17894
2014,22788,KSG Bike Events,Bike MS:Ozarks Ride  2014,9/6/2013 8:59,9/6/2014 13:35,335200,655,7,16145,306973.36,124797.29,41,43,10,1,5450,18,182176.07,233,43851.48,429,265521.15,1415,18449,2239.27,6800 State HWY 14 W.,Clever,MO,65631,"Springfield, Missouri Bike MS 2014",20078
2014,22758,KSG Bike Events,Bike MS: Ozarks Ride 2014,9/3/2013 10:57,9/6/2014 8:15,407000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6800 State HWY 14 W.,Clever,MO,65631,"OLD Springfield, Missouri Bike MS 2014",20078
2014,22759,KSG Bike Events,Bike MS: Kansas City Ride 2014,9/3/2013 11:15,9/13/2014 8:14,1328000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200 E. 151st Street,Olathe,KS,66062,"OLD Kansas City, KS Bike MS 2014",20077
2013,20047,KSG Bike Events,KSG Bike MS 2013,8/28/2012 13:12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,KSG Bike MS 2013,0
2016,27047,KSG Bike Events,Bike MS: Ozarks Ride 2016 Temporary,9/10/2015 19:38,9/10/2016 15:32,317250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688 East Hines Street,Republic,MO,65738,KSG 2016 Bike MS: Ozarks Ride Temporary,0
2016,28279,KSG Bike Events,KSG 2017 Bike MS: Ozarks Ride,9/8/2016 7:01,12/31/2017 7:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Bike MS: Ozarks Ride - DO NOT USE,0
2014,22757,KSG Bike Events,Bike MS: Nebraska Ride 2014,9/3/2013 10:37,9/6/2014 8:15,159000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000 Galvin Road South,Bellevue,NE,68005,"OLD Omaha, Nebraska Bike MS 2014",20066
2014,21762,KSG Bike Events,KSG Bike MS 2014,4/1/2013 8:08,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,KSG Bike MS 2014 OLD,0
2014,21903,KSG Bike Events,KSG Bike MS 2014,4/10/2013 12:15,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,KSG Bike MS 2014,0
2013,20066,KSG Bike Events,Bike MS 2013 Nebraska Ride,8/29/2012 11:22,9/7/2013 8:35,159000,237,1,3478.04,116771.23,58337.03,28,31,7,2,2793,12,58434.2,92,18527.64,146,99623.59,6927,19254.22,685,1000 Galvin Road South,Bellevue,NE,68005,KSG Bike MS 2013 Nebraska Ride,18798
2013,20080,KSG Bike Events,Bike MS 2013 Wichita Ride,8/30/2012 15:03,9/7/2013 8:36,124236,150,6,2579,115967.6,41289.86,16,16,6,1,2895,7,74677.74,59,7812.76,97,110384.84,152,18019.35,2100,300 S. Iuka,Pratt,KS,67124,KSG Bike MS 2013 Wichita Ride,17870
2016,27065,KSG Bike Events,Bike MS: Kansas City Ride 2016,9/19/2015 9:26,9/17/2016 14:23,1280000,1321,9,40475,1052155.72,600295.6,91,102,12,18,26918,157,451860.12,697,171502.8,633,932528.89,12025.91,51182.07,50524.97,1200 E. 151st St.,Olathe,KS,66062,KSG 2016 Bike MS: Kansas City Ride,25116
2016,27063,KSG Bike Events,Bike MS: Ozarks Ride 2016,9/18/2015 15:32,9/10/2016 11:46,290000,508,9,15965,310905.49,125682.94,32,32,12,4,7424,41,185222.55,216,43602.05,301,277073.64,3047,6185,9770.2,688 East Hines Street,Republic,MO,65738,KSG 2016 Bike MS: Ozarks Ride,25038
2015,25039,KSG Bike Events,Bike MS: Nebraska Ride 2015,9/4/2014 14:48,9/26/2015 11:32,112490,151,4,3270,68913.01,51392.01,21,23,6,5,3313,10,17521,72,14691,83,57694.01,5915,2989,3472,1000 Galvin Road South,Bellevue,NE,68005,KSG 2015 Bike MS: Nebraska Ride,22789
2014,22789,KSG Bike Events,Bike MS: Nebraska Ride 2014,9/6/2013 9:21,9/6/2014 11:13,128000,267,0,3625,125084.91,64760.67,24,27,9,2,3099,13,60324.24,109,15519,158,111536.91,2610,24517.74,1931,1000 Galvin Road South,Bellevue,NE,68005,"Omaha, Nebraska Bike MS 2014",20066
2014,22790,KSG Bike Events,Bike MS: Kansas City Ride 2014,9/6/2013 9:53,9/13/2014 10:19,1359500,1815,16,44890,1290575.07,622015.98,115,123,13,24,28726,94,668559.09,832,127530.77,999,1171804.62,18026.2,78546,8435.32,1200 E. 151st Street,Olathe,KS,66062,"Kansas City, KS Bike MS 2014",20077
2013,20078,KSG Bike Events,Bike MS 2013 Ozarks Ride,8/30/2012 14:41,9/7/2013 11:56,407000,719,9,13348.84,303242.41,99100.14,43,45,12,4,7096,24,204142.27,218,43159.71,510,263128.7,305,27892.49,2869,6800 State Hwy 14 W ,Clever,MO,65631,KSG Bike MS 2013 Ozarks Ride,17893
2017,28543,KSS Bike Events,Bike MS: Elkhart 2017 (TEST),9/20/2016 8:31,9/30/2017 11:47,0,25,0,25,5,5,1,1,11,1,9,2,0,0,0,25,5,0,0,0,,Elkhart,KS,67950,KSS 2017 Bike MS: Elkhart,13351
2014,22436,KYW Bike Events,"Bike MS: Bluegrass, Bikes & Bourbon",7/18/2013 9:03,5/17/2014 21:12,200000,208,17,4910,150954.15,89705,44,51,4,5,4150,8,61249.15,117,37954.41,108,137004.74,4966.85,23273,23645,1029 Vigo Road,Shelbyville,KY,40065,"Kentucky, Shelbyville - Bike MS 2014",21156
2013,22376,KYW Bike Events,Sue Rock Memorial Ride,7/3/2013 14:22,9/28/2013 15:20,25000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3414 Iron Work Pike,Lexington,KY,40511,Sue Rock Memorial Ride: Bike MS 2013,0
2017,28480,KYW Bike Events,Bike MS: Bluegrass Bourbon Ride 2017,9/16/2016 15:38,6/24/2017 13:57,120000,170,2,3015,115904.27,64365.68,25,24,4,4,1634,14,51538.59,90,17980,82,101084.27,3326.25,1000,3040,,Lawrenceburg,KY,47025,KYW 2017 Bike MS: Louisville,27151
2016,27086,KYW Bike Events," Bike MS: Bluegrass, Bikes, Bourbon & BBQ 2016",9/29/2015 11:08,6/25/2016 20:48,157500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3005 River Rd,Louisville,KY,40207,"KYW 2016 Bike MS: Bluegrass, Bikes, Bourbon & BBQ",0
2014,21904,KYW Bike Events,KYW Bike MS 2014,4/10/2013 12:15,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,KYW Bike MS 2014,0
2013,20357,KYW Bike Events,KYW Bike MS 2013,10/2/2012 11:17,6/22/2013 22:32,180000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Shelbyville,KY,,KYW Bike MS 2013,18228
2015,25686,KYW Bike Events,"KYW 2015 Bike MS: Bluegrass, Bikes, Bourbon & BBQ",11/4/2014 14:07,6/27/2015 5:42,175000,286,6,4420,139317.5,76564.41,36,36,4,1,3371,3,62753.09,122,29973,170,125319.85,8529,11007,14493.35,3005 River Road,Louisville,KY,40207,KYW 2015 Bike MS: Louisville,22436
2015,24422,KYW Bike Events,"Bike MS: Bluegrass, Bikes & Bourbon",6/18/2014 9:16,6/27/2015 13:53,175000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3005 River Road,Louisville,KY,40207,KYW Bike MS 2015,0
2016,27151,KYW Bike Events,"Bike MS: Bluegrass, Bikes, Bourbon & BBQ 2016",10/5/2015 10:37,6/25/2016 8:51,157500,166,0,4090,105738.21,60047.5,24,24,4,4,4227,16,45690.71,80,14604.5,86,94033.71,2155,2058,1060,3005 River Rd,Louisville,KY,40207,KYW 2016 Bike MS: Louisville,25686
2014,21763,KYW Bike Events,KYW Bike MS 2014,4/1/2013 8:08,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,KYW Bike MS 2014 OLD,0
2013,21156,KYW Bike Events,"Bluegrass, Bikes & Bourbon",12/4/2012 11:24,6/22/2013 8:26,180000,293,5,2440,158246.53,81316.95,36,43,6,5,4620,11,76929.58,125,32186.5,173,141347.03,1650,16092.5,14097,1029 Vigo Road,Shelbyville,KY,40065,"Kentucky, Shelbyville - Bike MS 2013",18228
2013,17971,LAM Bike Events,2012 Bike MS: Louisiana - Bike Percy Quin Housing,9/21/2011 10:47,10/6/2012 9:16,0,410,3,0,0,0,0,0,0,0,3,0,0,0,0,413,0,0,0,0,,Hammond,LA,,"Louisiana, Hammond - 2012 Bike Percy Quin Housing",0
2013,17970,LAM Bike Events,2012 Louisiana Ride,9/21/2011 10:05,10/6/2012 12:24,800000,1208,13,32515,715789.14,434687.14,108,121,8,9,30437,30,281102,531,103056.05,690,624321.34,18892.78,3766.52,10133.25,,Hammond,LA,,"Louisiana, Hammond - bike MS: Louisiana Ride 2012",16602
2015,22835,LAM Bike Events,Bike MS: Dat's How We Roll 2014,9/11/2013 9:38,10/4/2014 8:38,850000,1194,40,30484,754888.62,492024.6,97,104,9,5,32580,47,262864.02,577,172021.83,657,656968.79,12789.1,64908.22,65824,800 W. University Ave.,Hammond,LA,70401,"TXH Louisiana, Hammond - Bike MS 2014",20274
2016,25876,LAM Bike Events,Bike MS: Dat's How We Roll 2015,11/25/2014 23:34,10/10/2015 15:54,856000,859,222,32425,729535.09,479963.24,89,96,7,8,36155,41,249571.85,514,186902.43,567,626522.15,3514.75,77694.18,80413,800 W. University Ave.,Hammond,LA,70401,"TXH Louisiana, Hammond - Bike MS 2015",22835
2017,27905,LAM Bike Events,Bike MS: Dat's How We Roll 2016,1/20/2016 13:00,10/8/2016 11:14,787000,931,52,29417.5,602100.65,410294.89,86,90,8,0,20252,0,191805.76,523,170093.61,460,507170.04,2660,71305,72430,800 W. University Ave.,Hammond,LA,70401,TXH 2016 Bike MS: Hammond,25876
2014,20274,LAM Bike Events,"Louisiana, Hammond - Bike MS 2013",9/24/2012 11:51,10/5/2013 9:17,850000,1273,50,33050,712724.52,470063,95,115,10,9,28460,61,242661.52,537,114471.22,786,613550.8,18497.3,5652.57,1395,,Hammond,LA,,"Louisiana, Hammond - Bike MS 2013",17970
2013,21415,MAM Bike Events,MAM 2013 MS Great 8 Tour Du Lac,1/18/2013 11:25,8/4/2013 16:08,200000,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,,,None,,MAM 2013 MS Great 8 Tour Du Lac,0
2015,25836,MAM Bike Events,Bike MS: New Hampshire Seacoast Escape 2015,11/19/2014 9:49,8/22/2015 10:27,135000,190,6,4510,87563.87,71209.88,23,24,4,4,3333,8,16353.99,64,9110,132,80048.87,2664,470,1595,270 Portsmouth Avenue,Stratham,NH,3885,MAM 2015 Bike MS: New Hampshire Seacoast Escape,23867
2015,25787,MAM Bike Events,Bike MS: Ride the Rhode 2015,11/13/2014 8:11,6/20/2015 12:08,530000,650,12,47465,429079.48,304367.05,59,67,7,3,15338,33,124712.43,270,50905.54,392,389045.94,9897,2388.5,9822,235 S Pier Rd.,Narragansett,RI,2882,MAM 2015 Bike MS: Ride the Rhode,22426
2016,27051,MAM Bike Events,Bike MS: Great Maine Getaway 2016,9/12/2015 19:23,8/13/2016 19:26,419000,482,16,33525,373360.87,252474.9,51,51,6,7,14360,56,120885.97,217,44868.23,281,332469.84,3486,35,3747.2,11 Hills Beach Road,Biddeford,ME,4005,MAM 2016 Bike MS: Great Maine Getaway,24826
2017,28942,MAM Bike Events,Bike MS: Minuteman Ride 2017,12/1/2016 8:47,7/15/2017 12:07,104000,163,0,3680,52920.51,45724.44,20,19,4,4,1097,17,7196.07,79,10165,84,45165.51,1335,167.82,1880,500 Walden Street,Concord,MA,1742,MAM 2017 Bike MS: Minuteman Ride,27689
2014,22298,MAM Bike Events,Massachusetts - Bike MS: Cape Cod Getaway 2014,6/14/2013 14:04,6/28/2014 8:25,2650000,2089,164,114565,2287453.07,1630385.26,132,142,12,6,91503,173,657067.81,1104,276906.28,1149,2079731.29,46128.51,2549.32,65393.5,,Boston,MA,2125,Massachusetts - Bike MS: Cape Cod Getaway 2014,19418
2013,21279,MAM Bike Events,Massachusetts - Bike MS: Bike and Hike the Berkshires 2013,12/17/2012 13:52,9/21/2013 13:54,165000,171,2,3640,90560.22,57522.09,15,15,5,1,2170,10,33038.13,61,9751,112,81164.22,8646,831.15,330,37 Corey Road,Hancock,MA,1237,Massachusetts - Bike MS: Bike and Hike the Berkshires 2013,18704
2013,19963,MAM Bike Events,Vermont - Bike MS: Green Mountain Getaway 2013,8/7/2012 10:08,8/3/2013 10:30,200000,167,13,6015,76955.08,57496.08,17,17,4,2,2142,1,19459,49,7883,131,75872.08,690,500,6800,,Burlington,VT,5405,Vermont - Bike MS: Green Mountain Getaway 2013,18413
2014,23866,MAM Bike Events,Massachusetts - Bike MS: Minuteman Ride 2014,1/5/2014 19:37,7/19/2014 19:39,170000,203,0,4840,163127.43,73371.5,18,18,6,2,893,7,89755.93,100,25498,103,138009.43,1415,100,320,305 Walden Street,Concord,MA,1742,Massachusetts - Bike MS: Minuteman Ride 2014,21177
2016,27048,MAM Bike Events,Bike MS: Cape Cod Getaway 2016,9/11/2015 9:26,6/25/2016 13:15,2750000,2117,38,112400,2529645.38,1824739.38,150,166,12,39,90281,344,704906,1199,333304.8,956,2334575.28,54671.88,74349.94,101307.2,1 Enterprise Drive,Quincy,MA,2171,MAM 2016 Bike MS: Cape Cod Getaway,25096
2017,28104,MAM Bike Events,Bike MS: Ride the Rhode 2017,6/1/2016 14:43,6/10/2017 11:54,530000,496,23,36019,384804.9,278092.37,51,61,7,0,10641,0,106712.53,268,49720.83,251,347241.77,14712.77,2060,8162.7,45 Upper College Road,Kingston,RI,2881,MAM 2017 Bike MS: Ride the Rhode,27041
2013,21226,MAM Bike Events,New Hampshire - Bike MS: New Hampshire Seacoast Escape 2013,12/12/2012 8:53,8/24/2013 8:33,130000,209,8,5515,70431.44,54883,23,25,4,4,3211,6,15548.44,85,11659,132,59865.44,2310,350,1093,270 Portsmouth Avenue,Stratham,NH,3885,New Hampshire - Bike MS: New Hampshire Seacoast Escape 2013,18546
2015,24786,MAM Bike Events,Bike MS: Ride the Vineyard 2015,7/24/2014 10:16,5/2/2015 10:30,450000,664,3,22991,374910.31,261101.04,73,75,5,4,8837,37,113809.27,312,59610.8,355,332114.51,32761.3,200,5870,100 Edgartown - Vineyard Haven Road,Oak Bluffs,MA,2575,MAM 2015 Bike MS: Ride the Vineyard,22066
2014,23832,MAM Bike Events,MAM - 2014 MS Great 8 - Beach to Beach Tour,12/19/2013 15:38,10/6/2014 10:39,200000,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,,,None,,MAM - 2014 MS Great 8 - Beach to Beach Tour,21415
2014,21905,MAM Bike Events,MAM Bike MS 2014,4/10/2013 12:15,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAM Bike MS 2014,0
2014,21764,MAM Bike Events,MAM Bike MS 2014,4/1/2013 8:08,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAM Bike MS 2014 OLD,0
2013,20358,MAM Bike Events,MAM Bike MS 2013,10/2/2012 11:17,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,MA,,MAM Bike MS 2013,0
2014,22487,MAM Bike Events,Vermont - Bike MS: Green Mountain Getaway 2014,7/30/2013 12:23,8/2/2014 12:24,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Burlington,VT,5405,Vermont - Bike MS: Green Mountain Getaway 2014 - non blueprint - Delete,19963
2017,28949,MAM Bike Events,Bike MS: New Hampshire Seacoast Escape 2017,12/5/2016 8:18,8/26/2017 14:03,115000,206,2,4865,97696.2,78847.49,32,33,3,20,2514,35,18848.71,91,16050,117,83115.2,13561.16,10,800,270 Portsmouth Avenue (Route 33),Stratham,NH,3885,MAM 2017 Bike MS: New Hampshire Seacoast Escape,27702
2017,28222,MAM Bike Events,Bike MS: Ride the Vineyard 2017,8/18/2016 13:12,5/6/2017 9:14,430000,553,1,14875,321695,253920.5,64,59,5,0,6881,0,67774.5,319,48922.5,235,279538.5,19282,0,6666,100 Edgartown - Vineyard Haven Road,Oak Bluffs,MA,2575,MAM 2017 Bike MS: Ride the Vineyard,27091
2016,26796,MAM Bike Events,Bike MS: Great Maine Getaway 2016 - Registrations Only,8/3/2015 9:55,8/13/2016 9:46,375000,17,0,2110,65,65,5,6,2,0,0,0,0,1,65,16,0,0,0,0,11 Hills Beach Road,Biddeford,ME,4005,MAM 2016 Bike MS: Great Maine Getaway - Registrations Only,0
2014,22488,MAM Bike Events,Vermont - Bike MS: Green Mountain Getaway 2014,7/30/2013 12:25,8/2/2014 12:26,100000,157,2,6940,72264,53998,15,15,4,1,1899,6,18266,57,10688,102,70896,2980,100,9320,,Burlington,VT,5405,Vermont - Bike MS: Green Mountain Getaway 2014,19963
2013,20306,MAM Bike Events,Maine - Bike MS: Ride Bar Harbor 2013,9/26/2012 13:43,5/18/2013 13:44,35000,131,1,3205,29930,20105,8,8,7,1,864,1,9825,56,6673,76,23507,1535,0,250,,Bar Harbor,ME,4609,Maine - Bike MS: Ride Bar Harbor 2013,17415
2013,19743,MAM Bike Events,Maine - Bike MS: Great Maine Getaway 2013,8/2/2012 8:36,8/10/2013 8:37,375000,496,28,26510,294721.44,184765.44,53,58,6,3,8916,17,109956,215,40113.38,309,257305.06,4867,50,883,11 Hills Beach Road,Biddeford,ME,4005,Maine - Bike MS: Great Maine Getaway 2013,17754
2016,27649,MAM Bike Events,Bike MS: Green Mountain Getaway 2016,11/3/2015 15:29,8/6/2016 15:30,100000,98,2,1990,63476.76,48093,14,13,4,0,2771,0,15383.76,53,11693,47,52043.76,1290,50,260,Community Drive,South Burlington,VT,5403,MAM 2016 Bike MS: Green Mountain Getaway,24933
2015,25528,MAM Bike Events,Bike MS: Minuteman Ride 2015,10/23/2014 13:24,7/18/2015 13:27,170000,214,9,5705,193760.11,88676.13,25,25,5,0,3333,8,105083.98,96,28008.98,127,168212.13,4624,0,2091,305 Walden Street,Concord,MA,1742,MAM 2015 Bike MS: Minuteman Ride,23866
2015,24826,MAM Bike Events,Bike MS: Great Maine Getaway 2015,7/31/2014 14:21,8/8/2015 9:58,375000,459,24,32810,355902.26,210258.58,52,56,6,2,9359,19,145643.68,205,41649.81,278,316240.45,6475,25,1790,11 Hills Beach Road,Biddeford,ME,4005,MAM 2015 Bike MS: Great Maine Getaway,22534
2014,22534,MAM Bike Events,Maine - Bike MS: Great Maine Getaway 2014,8/5/2013 14:20,8/9/2014 8:25,375000,461,18,27255,295111.44,176588.39,44,49,6,0,10040,0,118523.05,160,30104.11,319,267085.33,7896.2,1157,1278,11 Hills Beach Road,Biddeford,ME,4005,Maine - Bike MS: Great Maine Getaway 2014,19743
2013,19418,MAM Bike Events,Massachusetts - Bike MS: Cape Cod Getaway 2013,6/18/2012 15:37,6/29/2013 11:18,2589000,2356,142,127155,2457997.08,1769865.85,137,155,14,0,106693,0,688131.23,1076,257754.82,1422,2240411.62,61934.31,6973.21,35817.36,,Boston,MA,2125,Massachusetts - Bike MS: Cape Cod Getaway 2013,17563
2017,28205,MAM Bike Events,Bike MS: Great Maine Getaway 2017,8/1/2016 10:25,8/12/2017 10:39,450000,453,8,29755,341617.67,246223.59,54,55,5,0,8616,0,95394.08,199,39695.3,262,315887.37,4190.5,20,3826,11 Hills Beach Road,Biddeford,ME,4005,MAM 2017 Bike MS: Great Maine Getaway,27051
2015,24666,MAM Bike Events,Bike MS: Cape Cod Getaway 2015,6/22/2014 7:27,6/27/2015 9:17,2700000,320,0,16455,5411,5376,48,49,5,2,35,1,35,57,5376,263,100,0,0,65,,Boston,MA,2125,MAM 2015 Cape Cod Getaway - Registrations Only,0
2015,24933,MAM Bike Events,Bike MS: Green Mountain Getaway 2015,8/18/2014 13:54,8/1/2015 17:13,100000,142,8,7400,92220.65,68954.64,20,20,3,3,1373,9,23266.01,49,12489.8,101,82664.85,1355,205,2764,,Burlington,VT,5405,MAM 2015 Bike MS: Green Mountain Getaway,22488
2014,23867,MAM Bike Events,New Hampshire - Bike MS: New Hampshire Seacoast Escape 2014,1/5/2014 20:00,8/23/2014 20:02,125000,187,5,5030,83648.28,66354.28,29,31,3,1,4457,8,17294,79,12545,113,72660.28,3585.54,0,367,270 Portsmouth Avenue,Stratham,NH,3885,New Hampshire - Bike MS: New Hampshire Seacoast Escape 2014,21226
2013,19124,MAM Bike Events,Massachusetts - Bike MS: Ride The Vineyard 2013,4/27/2012 8:20,5/4/2013 8:55,494000,694,5,23722,375531.53,252655.53,66,68,6,3,8559,25,122876,291,60952.05,408,317136.48,18982,824,2432,,Martha's Vineyard,MA,2575,Massachusetts - Bike MS: Ride The Vineyard 2013,17323
2013,21177,MAM Bike Events,Massachusetts - Bike MS: Minuteman Ride 2013,12/5/2012 13:39,7/20/2013 13:42,100000,179,0,4555,151263.25,93352,20,20,4,0,2055,6,57911.25,74,31538,105,120280.25,2812,0,500,305 Walden Street,Concord,MA,1742,Massachusetts - Bike MS: Minuteman Ride 2013,18527
2016,27091,MAM Bike Events,Bike MS: Ride the Vineyard 2016,9/30/2015 10:47,4/30/2016 12:30,430000,680,3,23695,432238.54,323451.77,69,68,6,15,8762,71,108786.77,407,97664.38,276,370569.16,15889,20885,34250,100 Edgartown - Vineyard Haven Road,Oak Bluffs,MA,2575,MAM 2016 Bike MS: Ride the Vineyard,24786
2014,24004,MAM Bike Events,Massachusetts - Bike MS: Bike and Hike the Berkshires 2014,2/13/2014 9:46,9/20/2014 9:52,165000,141,3,2255,66802,51947,12,12,4,0,749,0,14855,52,10255,92,56627,2829,0,80,37 Corey Road,Hancock,MA,1237,Massachusetts - Bike MS: Bike and Hike the Berkshires 2014,21279
2014,22066,MAM Bike Events,Massachusetts - Bike MS: Ride The Vineyard 2014,4/30/2013 10:23,5/3/2014 10:24,494000,695,0,22406,350055.36,243100.73,72,75,5,7,7825,28,106954.63,308,53676.82,387,299139.54,23476,50,2760,100 Edgartown - Vineyard Haven Road,Oak Bluffs,MA,2575,Massachusetts - Bike MS: Ride The Vineyard 2014,19124
2017,28923,MAM Bike Events,Bike MS: Green Mountain Getaway 2017,11/18/2016 8:17,8/5/2017 9:50,75000,82,0,1445,63546.56,43570,13,13,4,2,2842,7,19976.56,31,9065,51,58531.56,205,1665,3975,55 Community Drive,South Burlington,VT,50403,MAM 2017 Bike MS: Green Mountain Getaway,27649
2017,28124,MAM Bike Events,Bike MS: Cape Cod Getaway 2017,6/14/2016 10:31,6/24/2017 10:36,2750000,1988,62,110056,2618138.68,1904159.21,145,159,11,29,79780,329,713979.47,1202,344622.05,848,2483410.83,92197.06,46359.98,136118.2,1 Enterprise Drive,Quincy,MA,2171,MAM 2017 Bike MS: Cape Cod Getaway,27048
2016,27702,MAM Bike Events,Bike MS: New Hampshire Seacoast Escape 2016,11/10/2015 10:25,8/27/2016 15:03,114000,190,3,5020,78071.65,67164,25,26,4,5,4069,17,10907.65,75,10227.65,118,68145,4605,70,220,270 Portsmouth Avenue,Stratham,NH,3885,MAM 2016 Bike MS: New Hampshire Seacoast Escape,25836
2016,27689,MAM Bike Events,Bike MS: Minuteman Ride 2016,11/6/2015 10:31,7/16/2016 10:36,180000,161,0,3980,165849.03,72016.04,25,22,3,0,1698,0,93832.99,82,29353.77,79,147467.76,950,10000,10897.5,500 Walden Street,Concord,MA,1742,MAM 2016 Bike MS: Minuteman Ride,25528
2016,27041,MAM Bike Events,Bike MS: Ride the Rhode 2016 ,9/7/2015 14:33,6/18/2016 14:36,530000,430,2,30980,297336.79,202037.22,50,59,6,7,9899,43,95299.57,201,41858.19,231,261658.84,2211,3765,5210.24,45 Upper College Road,Kingston,RI,2881,MAM 2016 Bike MS: Ride the Rhode,25787
2016,26586,MAM Bike Events,Bike MS: Cape Cod Getaway 2016 - Registrations Only,6/18/2015 15:34,6/25/2016 15:38,2700000,271,0,14015,4719,4719,45,47,5,2,1097,1,0,50,4719,221,0,0,0,0,,Boston,MA,2125,MAM 2016 Bike MS: Cape Cod Getaway - Registrations Only,25096
2015,25096,MAM Bike Events,Bike MS: Cape Cod Getaway 2015,9/9/2014 9:28,6/27/2015 15:14,2700000,2000,76,111585,2369091.66,1716198.78,141,156,11,8,72147,164,652892.88,1101,292673.28,975,2159715.72,58844.05,7001.94,42757.75,,Boston,MA,2125,MAM 2015 Bike MS: Cape Cod Getaway,22298
2014,23816,MAM Bike Events,Maine - Bike MS: Ride Bar Harbor 2014,12/16/2013 12:14,5/17/2014 12:20,35000,78,6,1650,15725,12368,6,6,4,0,471,1,3357,31,3330,53,12435,320,0,40,15 Knox Road,Bar Harbor,ME,4609,Maine - Bike MS: Ride Bar Harbor 2014,20306
2016,26506,MAM Bike Events,Bike MS: Ride the Rhode 2016 - Registrations Only,6/5/2015 10:03,6/18/2016 8:55,530000,30,0,2170,285,260,7,7,2,0,9,0,25,6,260,24,25,0,0,0,,,RI,,MAM 2016 Bike MS: Ride the Rhode - Registrations Only,25787
2015,25846,MAM Bike Events,Bike MS: Bike and Hike the Berkshires 2015,11/20/2014 8:34,6/6/2015 8:36,165000,100,0,1825,30006.8,20651,11,12,3,1,402,5,9355.8,34,7346.8,66,23237.26,1040,335,372.26,37 Corey Road,Hancock,MA,1237,MAM 2015 Bike MS: Bike and Hike the Berkshires,24004
2015,25118,MDM Bike Events,Bike MS: Chesapeake Challenge 2015,9/12/2014 8:50,6/6/2015 7:24,550000,641,33,9080.1,440661.52,324026.88,73,74,6,8,20474,51,116634.64,322,64113.79,352,381231.88,6880,22082,510.15,10028 Ocean Gateway,Easton,MD,21601,MDM 2015 Bike MS: Chesapeake Challenge,22516
