,,,,,
National Team Name,Event Name,Event Start Date,Location,Revenue Raised,Number of Team Members
,2016 Bike MS: Tour de Farms,06/25/2016,,"$4,850.00",8
,MNM 2018 Bike MS: MS 150 Ride,06/08/2018,Minnesota,$0.00,1
,MNM 2017 Bike MS: C.H. Robinson MS 150 Ride,06/09/2017,,"$1,860.00",4
,TXH 2018 Bike MS: Dallas,05/05/2018,Dallas,$100.00,
,TXH 2017 Bike MS: Dallas,05/06/2017,,"$7,066.02",15
,WAS 2018 Bike MS: Deception Pass Classic,09/08/2018,"Mount Vernon, WA",$450.00,2
,WAS 2017 Bike MS: Deception Pass Classic,09/09/2017,"Mount Vernon, WA","$68,824.00",54
,WAS 2016 Bike MS: Washington (Deception Pass Classic),09/10/2016,Skagit County Fairgrounds,$350.00,1
,WAS 2016 Bike MS: Washington (Deception Pass Classic),09/10/2016,Skagit County Fairgrounds,$700.00,1
Progressive Bike Team,,,,"$18,296.81",40
,AZA 2018 Bike MS: Arizona,03/24/2018,"Fort McDowell, AZ","$1,965.00",1
,AZA 2017 Bike MS: Arizona,03/25/2017,,"$1,235.00",3
,COC 2017 Bike MS: Colorado,06/24/2017,,"$3,313.00",7
,ILD 2017 Bike MS: Tour de Farms,06/10/2017,"DeKalb, IL","$5,441.00",18
,OHA 2017 Bike MS: Buckeye Breakaway,08/05/2017,Brunswick,"$6,342.81",11
Pure Protein Bike Team,,,,"$55,040.38",76
,Bike to the Bay 2013,09/21/2013,Bike to the Bay,"$4,910.37",12
,2012 Bike MS New York City,10/21/2012,,"$2,420.00",
,OHG 2013 BIKE MS: VENTURE THE VALLEY 2013,08/24/2013,Camp Kern Lebanon Ohio,"$38,663.01",50
,"Texas, San Antonio - Bike MS: Valero 2012 Alamo Ride to the River",10/13/2012,San Antonio,$275.00,
,"Arkansas, Little Rock - Bike MS: Rock'n Hot Ride 2013",09/07/2013,Central Arkansas,"$8,772.00",14
PWC Bike Team,,,,"$24,101.56",47
,Bike MS: Waves to Wine Ride 2016,09/24/2016,San Francisco,"$4,975.00",10
,MNM 2017 Bike MS: C.H. Robinson MS 150 Ride,06/09/2017,,"$14,576.56",25
,WAS 2016 Bike MS: Washington (Deception Pass Classic),09/10/2016,Skagit County Fairgrounds,"$4,550.00",12
PWC National Bike Team,,,,"$170,775.70",158
,CTN 2017 Bike MS: Windsor,06/04/2017,Windsor,"$33,867.00",3
,BIKE MS: RIDE THE RIVERSIDE,06/07/2014,National Harbor,$650.00,1
,2013 BIKE MS: RIDE THE RIVERSIDE,06/08/2013,National Harbor,"$26,298.00",34
,2013 Bike MS Minuteman Ride,07/20/2013,"Concord, Ma",$450.00,2
,MNM 2018 Bike MS: MS 150 Ride,06/08/2018,Minnesota,$0.00,5
,NYN 2017 Bike MS: New York City,10/22/2017,"New York City, NY","$20,098.00",16
,2012 Bike MS New York City,10/21/2012,,$105.00,
,Bike MS: City to Shore Ride 2013,09/28/2013,New Jersey,"$5,129.00",13
,PAE 2017 Bike MS: City to Shore Ride,09/23/2017,New Jersey,$600.00,2
,PENNSYLVANIA - BIKE MS: ESCAPE TO THE LAKE 2013,06/08/2013,Pennsylvania and Ohio,"$4,990.00",5
,TXH 2018 Bike MS: BP MS 150,04/28/2018,,"$1,895.00",
,TXH 2017 Bike MS: BP MS 150,04/29/2017,,"$76,693.70",77
REI Bike Team,,,,"$1,245.00",7
,"New Jersey, Oakhurst - Coast the Coast Bike MS 2013",05/18/2013,MON,$350.00,1
,PAX 2017 Bike MS: Cook Forest River Ride,09/16/2017,Cook Forest,$645.00,5
,WAS 2016 Bike MS: Washington (Deception Pass Classic),09/10/2016,Skagit County Fairgrounds,$250.00,1
Rocket Fuelers and Friends Bike Team,,,,"$2,580.00",10
,ILD 2017 Bike MS: Tour de Farms,06/10/2017,"DeKalb, IL","$2,580.00",1
,MIG 2017 Bike MS: Great Lakes Mid Michigan Breakaway,07/15/2017,,$0.00,9
Rollin With The Homies Bike Team,,,,"$24,044.16",42
,MIG 2018 Bike MS: Great Lakes Bavarian Breakaway,09/29/2018,Harvey Kern Pavilion,$50.00,
,MIG 2017 Bike MS: Great Lakes Bavarian Breakaway,09/23/2017,Harvey Kern Pavilion,"$10,025.00",21
,TNS 2017 Bike MS: Jack and Back,10/07/2017,Tullahoma,"$1,265.00",5
,TXH 2017 Bike MS: Norman,09/30/2017,"Norman, OK","$12,704.16",16
Salesforce Bike Team,,,,"$399,239.05",341
,CAN 2018 Bike MS: Waves to Wine,09/22/2018,SOMO Village,$485.00,7
,CAN 2017 Bike MS: Waves to Wine,09/23/2017,,"$227,108.56",134
,COC 2018 Bike MS: Colorado,06/23/2018,"Fort Collins, CO",$150.00,
,COC 2017 Bike MS: Colorado,06/24/2017,,"$31,591.00",25
,GAA 2017 Bike MS: Atlanta Peach Ride,10/21/2017,"Atlanta, GA","$1,906.00",5
,2016 BIKE MS: ATLANTA RIDE **START/END DATES CHANGED FOR METRIC THAT MATTER REPORTING**,09/29/2016,Atlanta,$125.00,1
,ILD 2018 Bike MS: Tour de Farms,06/23/2018,"Chicago, IL",$100.00,
,ILD 2017 Bike MS: Tour de Farms,06/10/2017,"DeKalb, IL","$41,741.00",7
,INI 2017 Bike MS: Cruisin' the Crossroads,09/09/2017,"Lebanon, IN","$29,813.00",59
,MAM 2017 Bike MS: Cape Cod Getaway,06/24/2017,"Quincy , MA","$10,862.00",6
,MAM 2018 Bike MS: Cape Cod Getaway,06/30/2018,"Quincy, MA",$140.00,
,2016 Bike MS Cape Cod Getaway,06/25/2016,Boston,"$3,295.00",1
,MNM 2017 Bike MS: Twin Cities Ride,05/07/2017,"St. Paul, Minnesota",$400.00,3
,NYN 2017 Bike MS: New York City,10/22/2017,"New York City, NY","$2,603.00",5
,NYN 2016 BIKE MS: NYC,10/02/2016,Westside Highway and 46th St Pier 92/94,"$4,780.00",9
,OHA 2017 Bike MS: Buckeye Breakaway,08/05/2017,Brunswick,"$2,570.00",3
,OHA Bike MS 2016: Buckeye Breakaway,08/06/2016,Brunswick,"$5,655.00",2
,ORC 2017 Bike MS: Willamette Valley,08/04/2017,,"$3,380.00",18
,PAE 2018 Bike MS: City to Shore Ride ,09/29/2018,New Jersey,$35.00,4
,PAE 2017 Bike MS: City to Shore Ride,09/23/2017,New Jersey,"$21,801.00",25
,UTU 2018 Bike MS: Logan,06/23/2018,"Logan, UT",$50.00,
,WAS 2017 Bike MS: Deception Pass Classic,09/09/2017,"Mount Vernon, WA","$6,232.50",16
,WAS 2016 Bike MS: Washington (Deception Pass Classic),09/10/2016,Skagit County Fairgrounds,"$4,415.99",11
Sam's Club,,,,"$41,651.98",64
,2016 Bike MS: Tour de Farms,06/25/2016,,$0.00,1
,TXH 2017 Bike MS: Dallas,05/06/2017,,"$3,865.00",13
,"Texas, Dallas - Bike MS: Sam's Club Round Up Ride 2013",05/04/2013,Dallas-Fort Worth,"$35,666.98",28
,"OKLAHOMA, TULSA - BIKE MS: THE MOTHER ROAD RIDE 2013",09/21/2013,Central Oklahoma,$0.00,17
,TXH 2017 Bike MS: Hammond,10/07/2017,"Hammond, LA","$1,000.00",1
,2013 Bike MS Utah:  Harmons Best Dam Bike Ride,06/29/2013,"Logan, Utah","$1,120.00",4
Starbucks Coffee Company Bike Team,,,,"$46,332.70",93
,COC 2017 Bike MS: Colorado,06/24/2017,,$530.00,2
,2013 Bike MS - Colorado,06/29/2013,MS1,"$9,575.00",15
,MDM 2017 Bike MS: Chesapeake Challenge,06/17/2017,"Easton, MD","$8,575.00",2
,"Texas, Houston - 2013 BP MS 150",04/20/2013,Houston to Austin,"$1,060.00",1
,TXH 2017 Bike MS: San Antonio,10/07/2017,San Antonio,"$9,065.50",26
,TXH 2016 Bike MS: San Antonio,10/01/2016,San Antonio,"$12,872.20",35
,"Texas, San Antonio - Bike MS: Valero 2012 Alamo Ride to the River",10/13/2012,San Antonio,$345.00,
,2013 Bike MS - Washington,09/07/2013,Mount Vernon,$500.00,3
,WAS 2017 Bike MS: Deception Pass Classic,09/09/2017,"Mount Vernon, WA","$3,810.00",9
State Farm Bike Team,,,,"$19,706.00",23
,ALC 2017 Bike MS: Tour De Beach,09/16/2017,Hampton Inns and Suite,"$11,610.00",13
,ALC 2016 Bike MS: Tour de Beach,09/17/2016,"Orange Beach, AL",$425.00,3
,MDM 2017 Bike MS: Chesapeake Challenge,06/17/2017,"Easton, MD","$3,180.00",3
,2016 Bike MS: Chesapeake Challenge,06/04/2016,,"$4,491.00",4
Target,,,,"$44,625.39",88
,MNM 2018 Bike MS: MS 150 Ride,06/08/2018,Minnesota,$135.00,17
,MNM 2017 Bike MS: C.H. Robinson MS 150 Ride,06/09/2017,,"$44,490.39",67
,NCT 2013 Bike MS New Bern,09/07/2013,New Bern,$0.00,4
Team Audrey's Heroes Bike Team,,,,"$65,247.63",44
,COC 2018 Bike MS: Colorado,06/23/2018,"Fort Collins, CO",$150.00,
,COC 2017 Bike MS: Colorado,06/24/2017,,"$1,075.00",4
,2013 Bike MS - Colorado,06/29/2013,MS1,$0.00,1
,2013 Mid Michigan Bike MS,07/13/2013,Mid Michigan Bike MS,"$1,000.00",3
,TXH 2017 Bike MS: San Antonio,10/07/2017,San Antonio,$525.00,2
,TXH 2017 Bike MS: Dallas,05/06/2017,,$100.00,3
,TXH 2016 Bike MS: San Antonio,10/01/2016,San Antonio,$300.00,2
,"OKLAHOMA, TULSA - BIKE MS: THE MOTHER ROAD RIDE 2013",09/21/2013,Central Oklahoma,$65.00,2
,"Texas, Midland - bike MS: Cactus & Crude 2013, presented by Apache",07/20/2013,"Midland-Post, TX",$370.00,2
,"Texas, Dallas - Bike MS: Sam's Club Round Up Ride 2013",05/04/2013,Dallas-Fort Worth,$600.00,3
,"Texas, Houston - 2013 BP MS 150",04/20/2013,Houston to Austin,"$61,062.63",22
TEAM BP,,,,"$166,471.00",131
,COC 2017 Bike MS: Wyoming,08/12/2017,,"$1,700.00",3
,Windsor Bike 2016,06/05/2016,"Griffin Land, Windsor, Conn.",$150.00,1
,BIKE MS 2013 - DEKALB,06/22/2013,ILLINOIS,"$6,346.00",6
,"Texas, Amarillo - bike MS: Ride the Rim 2013 presented by BP",06/22/2013,"Amarillo, TX",$910.00,4
,2013 BIKE MS IN ALASKA,09/07/2013,"Alyeska Day Lodge, Girdwood, AK","$30,635.00",33
,2013 Bike MS - Washington,09/07/2013,Mount Vernon,"$126,730.00",84
Team Caffeine Powered by Energy Circle Bike Team,,,,"$21,215.38",25
,TXH 2017 Bike MS: Little Rock,09/09/2017,,"$21,215.38",25
Team CSX Bike Teams,,,,"$43,492.53",62
,2016 BIKE MS: PGA TOUR CYCLE TO THE SHORE  *START/END DATE FIELDS CHANGED FOR REPORTING*,09/29/2016,TPC Sawgrass,$270.00,2
,FLN 2017 Bike MS: PGA TOUR Cycle to the Shore,10/14/2017,TPC Sawgrass,"$43,222.53",60
Team HP Bike Team,,,,"$125,989.19",90
,2013 BIKE MS: RIDE THE RIVERSIDE,06/08/2013,National Harbor,$422.00,1
,"Texas, Dallas - Bike MS: Sam's Club Round Up Ride 2013",05/04/2013,Dallas-Fort Worth,"$25,744.18",15
,"Texas, Houston - 2013 BP MS 150",04/20/2013,Houston to Austin,"$66,717.87",45
,TXH 2017 Bike MS: Dallas,05/06/2017,,"$33,105.14",29
Team In Motion Bike Team,,,,"$78,526.23",66
,CAL 2017 Bike MS: Las Vegas,10/28/2017,"Las Vegas, NV",$0.00,1
,Bike MS: Vegas 2016,09/24/2016,Las Vegas,$685.00,3
,COC 2017 Bike MS: Colorado,06/24/2017,,"$31,524.23",24
,ILD 2017 Bike MS: Tour de Farms,06/10/2017,"DeKalb, IL",$50.00,3
,2016 Bike MS: Tour de Farms,06/25/2016,,$0.00,1
,NCT 2017 Bike MS: Historic New Bern Ride,09/09/2017,,$0.00,1
,NCT 2013 Bike MS New Bern,09/07/2013,New Bern,$140.00,3
,NYN 2017 Bike MS: New York City,10/22/2017,"New York City, NY","$8,795.00",5
,NYN 2016 BIKE MS: NYC,10/02/2016,Westside Highway and 46th St Pier 92/94,"$35,572.00",20
,NYR 2017 Bike MS: ROC the Ride,09/09/2017,,"$1,250.00",3
,WAS 2016 Bike MS: Montana (Ride the Sky),08/20/2016,"Red Lodge, MT",$510.00,2
Team Pentair Bike Team,,,,"$45,681.21",76
,MNM 2018 Bike MS: MS 150 Ride,06/08/2018,Minnesota,$50.00,15
,MNM 2017 Bike MS: C.H. Robinson MS 150 Ride,06/09/2017,,"$42,801.21",56
,OHA 2017 Bike MS: Buckeye Breakaway,08/05/2017,Brunswick,"$2,830.00",5
Team Pure Phoenix Rising,,,,"$16,723.60",27
,OHA BIKE MS PEDAL TO THE POINT 2013,08/03/2013,Brunswick High School,"$16,673.60",26
,BIKE MS: CENTRAL OHIO CHALLENGE,07/20/2013,New Albany High School,$50.00,1
Team Stay Fit at Hyatt Bike Team,,,,"$75,074.34",118
,CAN 2017 Bike MS: Waves to Wine,09/23/2017,,"$2,960.00",16
,Waves to Wine 2013,09/21/2013,San Francisco,"$17,888.61",23
,COC 2018 Bike MS: Colorado,06/23/2018,"Fort Collins, CO",$50.00,
,COC 2017 Bike MS: Colorado,06/24/2017,,"$30,345.41",29
,ILD 2018 Bike MS: Tour de Farms,06/23/2018,"Chicago, IL",$50.00,
,ILD 2017 Bike MS: Tour de Farms,06/10/2017,"DeKalb, IL","$16,041.00",29
,BIKE MS 2013 - DEKALB,06/22/2013,ILLINOIS,"$6,657.32",19
,2013 Bike MS Gateway Getaway,09/07/2013,,"$1,082.00",2
Team Wingman Bike Team,,,,"$254,606.40",232
,TXH 2018 Bike MS: BP MS 150,04/28/2018,,$35.00,
,TXH 2017 Bike MS: San Antonio,10/07/2017,San Antonio,"$97,819.62",103
,TXH 2017 Bike MS: BP MS 150,04/29/2017,,"$5,800.00",4
,TXH 2016 Bike MS: San Antonio,10/01/2016,San Antonio,"$149,401.48",120
,"Texas, Houston - 2013 BP MS 150",04/20/2013,Houston to Austin,"$1,372.80",5
,"Texas, San Antonio - Bike MS: Valero 2012 Alamo Ride to the River",10/13/2012,San Antonio,$177.50,
Teva Neurosciences Bike Team,,,,"$48,643.00",149
,Waves to Wine 2013,09/21/2013,San Francisco,$350.00,1
,FLS 2018 Bike MS: Breakaway to Key Largo,03/03/2018,"Miami, FL",$0.00,3
,FLS 2017 Bike MS: Breakaway to Key Largo,03/04/2017,,"$2,280.00",3
,KSG 2018 Bike MS: Kansas City,09/29/2018,Kansas City,$35.00,8
,KSG 2017 Bike MS: Kansas City,09/16/2017,,"$45,978.00",134
Thomson Reuters National Bike Team,,,,"$31,774.00",52
,MNM 2017 Bike MS: Twin Cities Ride,05/07/2017,"St. Paul, Minnesota","$3,781.00",12
,MNM 2018 Bike MS: MS 150 Ride,06/08/2018,Minnesota,$0.00,1
,MNM 2017 Bike MS: C.H. Robinson MS 150 Ride,06/09/2017,,"$20,553.00",26
,BIKE MS: CITY TO SHORE RIDE 2014,09/27/2014,New Jersey,$375.00,1
,Bike MS: City to Shore Ride 2013,09/28/2013,New Jersey,"$7,065.00",12
Toyota Bike Team,,,,"$77,897.33",80
,2013 Mid Michigan Bike MS,07/13/2013,Mid Michigan Bike MS,"$5,604.97",13
,NYN 2017 Bike MS: New York City,10/22/2017,"New York City, NY",$600.00,5
,"Texas, Houston - 2013 BP MS 150",04/20/2013,Houston to Austin,"$71,127.36",61
,2016 BIKE MS TOYOTA BEST DAM BIKE TOUR,08/06/2016,Pewaukee/Whitewater/Madison,$565.00,1
UBS Bike Team,,,,"$2,590.00",4
,Bike MS: City to Shore Ride 2013,09/28/2013,New Jersey,"$2,590.00",4
UPS Bike Team,,,,"$37,283.22",81
,COC 2017 Bike MS: Colorado,06/24/2017,,"$1,260.00",3
,2013 Bike MS - Colorado,06/29/2013,MS1,"$6,619.60",9
,KYW 2013 Bike MS,06/22/2013,"Gallrein Farms Shelbyville,  KY","$4,505.00",15
,OHG 2017 Bike MS: Oxford,08/05/2017,,"$9,663.00",19
,PAE 2018 Bike MS: City to Shore Ride ,09/29/2018,New Jersey,$70.00,2
,TXH 2018 Bike MS: BP MS 150,04/28/2018,,$35.00,
,TXH 2017 Bike MS: BP MS 150,04/29/2017,,"$8,377.62",21
,TXH 2017 Bike MS: San Antonio,10/07/2017,San Antonio,$305.00,1
,2013 Bike MS Utah:  Harmons Best Dam Bike Ride,06/29/2013,"Logan, Utah","$1,000.00",1
,VAR 2018 Bike MS: Colonial Crossroads,06/02/2018,"Williamsburg, VA",$0.00,5
,"VAR 2013 Bike MS:Ride Virginia, Richmond to Williamsburg",06/01/2013,Richmond to Williamsburg,"$5,448.00",5
US Air Force,,,,$870.00,6
,KSG Bike MS 2013 Kansas City Ride,09/14/2013,Kansas City,$200.00,1
,OHA BIKE MS PEDAL TO THE POINT 2013,08/03/2013,Brunswick High School,$635.00,3
,PAE 2017 Bike MS: City to Shore Ride,09/23/2017,New Jersey,$35.00,2
US Army,,,,"$4,520.00",4
,VAB BIKE MS 2013 TOUR DE VINE,06/08/2013,Devil's Backbone Brewing Company,"$4,520.00",4
US Bank,,,,"$2,225.00",3
,KYW 2013 Bike MS,06/22/2013,"Gallrein Farms Shelbyville,  KY","$2,225.00",3
US Navy,,,,"$1,355.00",5
,TXH 2017 Bike MS: Hammond,10/07/2017,"Hammond, LA","$1,355.00",5
Valero Bike Team,,,,"$18,431.00",
,"Texas, San Antonio - Bike MS: Valero 2012 Alamo Ride to the River",10/13/2012,San Antonio,"$18,431.00",
Verizon Bike Team,,,,"$13,495.00",18
,Bike MS: Chesapeake Challenge 2013,06/01/2013,Talbot County Community Center,"$9,430.00",14
,Hops to Hops Bike MS 2013,09/15/2013,LAM,$770.00,3
,Bike MS: City to Shore Ride 2013,09/28/2013,New Jersey,"$3,295.00",1
Vitamin Shoppe Bike Team,,,,"$62,036.69",87
,CAS 2017 Bike MS: Bay to Bay,10/21/2017,,"$1,810.00",3
,FLS Bike MS 2013,04/01/2013,TBD,"$1,870.00",7
,MAM 2017 Bike MS: Ride the Rhode,06/10/2017,"Kingston, RI",$0.00,1
,NJM 2017 Bike MS: Coast the Coast,05/20/2017,West Long Branch,"$48,943.69",47
,Hops to Hops Bike MS 2013,09/15/2013,LAM,$355.00,4
,NYN 2016 BIKE MS: NYC,10/02/2016,Westside Highway and 46th St Pier 92/94,$0.00,1
,2012 Bike MS New York City,10/21/2012,,$25.00,
,PENNSYLVANIA - BIKE MS: ESCAPE TO THE LAKE 2013,06/08/2013,Pennsylvania and Ohio,"$8,698.00",22
,2016 BIKE MS TOYOTA BEST DAM BIKE TOUR,08/06/2016,Pewaukee/Whitewater/Madison,$335.00,2
Wal-Mart/Sam's Club Bike Team,,,,"$24,656.15",22
,TXH 2017 Bike MS: Norman,09/30/2017,"Norman, OK","$24,656.15",22
Wells Fargo Bike Team,,,,"$274,418.86",484
,CAL 2017 Bike MS: Coastal Challenge,03/25/2017,,$935.00,2
,CAL 2017 Bike MS: Coastal Challenge,03/25/2017,,"$1,535.00",3
,CAN 2018 Bike MS: Waves to Wine,09/22/2018,SOMO Village,$245.00,2
,CAS 2016 Bike MS: Bay to Bay,10/22/2016,,"$9,381.00",7
,Westport Bike MS 2013,06/09/2013,"Westport, Conn","$4,355.00",13
,FLN 2013 Bike MS: PGA TOUR Cycle to the Shore,09/28/2013,St. John's County Airport,"$21,845.20",26
,MDM 2017 Bike MS: Chesapeake Challenge,06/17/2017,"Easton, MD","$19,020.00",33
,MDM 2018 Bike MS: Chesapeake Challenge,06/16/2018,Talbot County Community Center,$695.00,
,Bike MS: Chesapeake Challenge 2013,06/01/2013,Talbot County Community Center,"$13,439.00",26
,MDM Bike MS: Bike to Bordeaux 2013,09/28/2013,Linganore Winecellars,"$2,667.00",20
,2016 Bike MS: MS 150,06/10/2016,Minnesota,$700.00,2
,2013 Cruise the Cornfields,06/22/2013,Iowa,"$5,757.00",7
,MNM 2018 Bike MS: MS 150 Ride,06/08/2018,Minnesota,$0.00,2
,"Texas, San Antonio - Bike MS: Valero 2012 Alamo Ride to the River",10/13/2012,San Antonio,"$1,093.00",
,TXH 2017 Bike MS: San Antonio,10/07/2017,San Antonio,"$57,751.63",126
,TXH 2016 Bike MS: San Antonio,10/01/2016,San Antonio,"$52,348.76",106
,"Texas, Dallas - Bike MS: Sam's Club Round Up Ride 2013",05/04/2013,Dallas-Fort Worth,$300.00,1
,TXH 2017 Bike MS: Cactus and Crude Ride,07/15/2017,Midland,$550.00,2
,TXH 2017 Bike MS: BP MS 150,04/29/2017,,"$46,752.00",52
,"Texas, Houston - 2013 BP MS 150",04/20/2013,Houston to Austin,"$23,567.27",29
,2016 Bike MS: Harmon's Best Dam Bike Ride,06/25/2016,,$250.00,1
,2013 Bike MS Utah:  Harmons Best Dam Bike Ride,06/29/2013,"Logan, Utah","$5,632.00",11
,WAS 2017 Bike MS: Deception Pass Classic,09/09/2017,"Mount Vernon, WA","$5,600.00",13
Westfield Bike Team,,,,$125.00,1
,Windsor Bike 2016,06/05/2016,"Griffin Land, Windsor, Conn.",$125.00,1
Whole Foods Bike Team,,,,$0.00,1
,"OKLAHOMA, TULSA - BIKE MS: THE MOTHER ROAD RIDE 2013",09/21/2013,Central Oklahoma,$0.00,1
xpedx / International Paper Bike Team,,,,"$19,030.00",13
,Bike MS 2013,04/20/2013,ORL,"$18,960.00",11
,2016 Hudson River Ramble Bike Ride,09/17/2016,"Birch Hill Catering, 1 Celebration Way Schodack, NY 12033",$70.00,2
YMCA Bike Team,,,,"$77,136.00",68
,2016 BIKE MS: PGA TOUR CYCLE TO THE SHORE  *START/END DATE FIELDS CHANGED FOR REPORTING*,09/29/2016,TPC Sawgrass,$0.00,1
,FLN 2013 Bike MS: PGA TOUR Cycle to the Shore,09/28/2013,St. John's County Airport,"$10,922.00",25
,BIKE MS 2013 - DEKALB,06/22/2013,ILLINOIS,"$7,581.00",10
,NCT 2013 BIKE MS BREAKAWAY,09/21/2013,Charlotte,"$57,808.00",29
,Hops to Hops Bike MS 2013,09/15/2013,LAM,$25.00,1
,OHO BIKE TO THE BAY 2013,06/29/2013,Lucas County Fairgrounds,$800.00,2
,,,,,
