Internal Event Name,Event ID,Team Division,Company,Number of Participants,Total Fees Paid,Team Total Confirmed ($),Total Online Gifts($),Total Offline Confirmed Gifts($),Total Offline Unconfirmed Gifts($),Team Goal($),Total Confirmed Gifts in Team History($),Previous Event Fiscal Year,Previous Event Confirmed Gifts($),Previous Event Team Members,Fiscal Year
"Texas, Houston - 2014 BP MS 150",22598,Corporate,"Gate, Inc.",13,1330,8270,7505,765,0,10000,8270,2013,5232,10,2014
CAN 2015 Bike MS: Waves to Wine Ride,25199,Corporate,Oracle Corp.,13,390,8270,6790,1480,0,0,19750,,0,0,2015
WAS 2014 Bike MS - Washington,23318,Corporate,,8,335,8255,6955,1300,0,15000,8255,,0,0,2014
OHG 2015 Bike MS: Oregonia,24907,Corporate,UPS,16,263,8246,5055,3191,0,0,24684,,0,0,2015
ILD Bike MS: Tour de Farms 2013,20718,Corporate,,21,410,8241,3210,5031,50,7000,8241,,0,0,2013
NCC 2013 Bike MS Tour to Tanglewood,21238,Corporate,Cone Health,21,565,8241,7330,911,0,10000,8241,,0,0,2013
NYN 2012 Bike MS New York City,18354,Corporation,Ingalls & Snyder LLC,9,515,8238,7353,885,0,8000,8238,,0,0,2013
Colorado - Bike MS 2014,22980,Corporate,Christian Living Communities,12,808.8,8234,6285,1949,0,8000,8234,,0,0,2014
"PAE0EMS120140927CTS - New Jersey, Cherry Hill - Bike MS: City to Shore 2014",22817,Corporate,Catalent Pharma Solutions,12,570,8233,7773,460,50,7500,8233,,0,0,2014
Bike MS: Breakaway to the Beach 2013,20796,Corporate,,12,430,8232.5,5060,3172.5,0,25000,8232.5,2012,10354.2,20,2013
MIG 2017 Bike MS: Great Lakes Bavarian Breakaway,29037,Corporate,GM,13,341,8215,1397,6818,1000,75000,40530,2016,9210,9,2017
CAS Bike MS 2015,26037,Corporate,,8,240,8213,8013,200,0,10000,31338,,0,0,2016
CAN 2015 Bike MS: Waves to Wine Ride,25199,Corporate,Point B Bike Team,5,214,8210,8110,100,0,6000,25483,,0,0,2015
ILD 2017 Bike MS: Tour de Farms,28197,Corporate,Sargent & Lundy,6,165,8204,7599,605,0,10000,22855,2016,9061,10,2017
TXH 2017 Bike MS: BP MS 150,28263,Corporate,GOYA,18,1510,8200,6345,1855,0,10000,26129,2016,9175,19,2017
"Missouri, Columbia - Bike MS: Express Scripts Gateway Getaway Ride 2014",22760,Corporate,J.W. Terrill,6,100,8184.25,5954,2230.25,50,10000,8184.25,,0,0,2014
TXH 2016 Bike MS: BP MS 150,27003,Corporate,ARC Specialties,13,1300,8180,7560,620,0,10000,25748,2015,13758,21,2016
TNS 2013 Bike Rock-N-Roll,20156,Corporation,MEDTRONIC,18,580,8179,6256,1923,0,10000,8179,,0,0,2013
WAS 2013 Bike MS - Washington,21128,Corporate,,21,830,8175,2365,5810,0,12000,8175,,0,0,2013
TXH 2017 Bike MS: BP MS 150,28263,Corporate,WP Engine,16,1815,8165,7850,315,0,5000,8165,,0,0,2017
"Florida, Orlando- Bike MS 2014",22186,Corporate,AssistRx,8,341.25,8153.98,7520,633.98,0,2500,8153.98,,0,0,2014
"PAE0EMS120140927CTS - New Jersey, Cherry Hill - Bike MS: City to Shore 2014",22817,Corporate,Cadient Group,12,470,8133,7630,503,250,6000,8133,,0,0,2014
MOS 2015 Bike MS: Express Scripts Gateway Getaway Ride,25028,Corporate,Anders Minkler Huber & Helm,5,115,8130,6755,1375,0,0,15010,2014,7994,5,2015
NYN 2016 Bike MS: NYC,27764,Corporate,MUFG Union Bank,17,950,8129,5496,2633,0,7500,17417,,0,0,2017
VAB 2015 Bike MS: Country Roads Ride,26004,Corporate,Columbia Pipeline Group,27,455,8125,4865,3260,165,30000,8827,,0,0,2015
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,BMW,14,1490,8124,7324,800,100,20000,8124,,0,0,2015
PAE 2017 Bike MS: City to Shore Ride - CTS,28216,Corporate,IMS Technology Services,17,572.24,8121.83,6666.83,1455,200,5000,13776.82,2016,5354.99,12,2017
NYN 2012 Bike MS New York City,18354,Corporation,PricewaterhouseCoopers,32,175,8121,7856,265,50,10000,8121,,0,0,2013
UTU 2017 Bike MS: Logan,28813,Corporate,Experticity,8,0,8115,7115,1000,500,10000,18395.01,2016,10280.01,12,2017
"Texas, Houston - 2013 BP MS 150",20226,Corporate,McKinsey & Company,21,2100,8110,7810,300,0,25000,8110,,0,0,2013
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Team ERM,15,1530,8108.5,5127,2981.5,0,10000,17455,,0,0,2015
NCT 2014 Bike MS: Tour to Tanglewood,23796,Corporate,,19,460,8098,7588,510,0,10000,8098,,0,0,2014
"Oklahoma, Chandler - Bike MS: The Mother Road Ride 2013",21466,Corporate,Baker Hughes,15,345,8095,4623,3472,0,5000,8095,,0,0,2013
"Connecticut, Windsor - Bike MS 2014",23432,Corporate,Team Mitchell Auto Group,6,210,8090,6825,1265,450,5000,8090,,0,0,2014
NCC 2013 Bike MS Tour to Tanglewood,21238,Corporate,,11,320,8088,4165,3923,100,5000,8088,,0,0,2013
FLC 2016 Bike MS: The Citrus Tour,27190,Corporate,Express Scripts,62,65,8087.73,7662.73,425,0,20000,50817.13,2015,19551,16,2016
PAX 2016 Bike MS: Cook Forest River Ride,27739,Corporate,KPMG,10,155,8085.98,5925,2160.98,0,7000,16642.18,2015,5906.2,8,2016
DED Bike MS: Bike to the Bay 2013,20707,Corporate,TD Bank,19,505,8082,6631,1451,20,2500,8082,,0,0,2013
"Texas, Houston - 2014 BP MS 150",22598,Corporate,,14,1460,8077.75,6935,1142.75,0,25000,8077.75,,0,0,2014
"NJM New Jersey, Oakhurst - Bike MS: Coast the Coast 2015",25596,Corporate,Novartis,15,40,8074,7179,895,0,5000,25127,,0,0,2015
NYN 2014 Bike MS New York City,23928,Corporate,FINRA,14,150,8055,7755,300,0,12000,8055,,0,0,2015
CTN 2016 Bike MS: Norwalk,27507,Corporate,,13,70,8055,7755,300,0,7500,17090,2015,4135,10,2016
Colorado - Bike MS 2013,20901,Corporate,,10,510,8051.9,3116.9,4935,0,20000,8051.9,2012,19237,16,2013
Massachusetts - Bike MS: Ride The Vineyard 2013,19124,Corporation,Dassault Systemes,9,357,8051.11,5566.11,2485,0,0,8051.11,,0,0,2013
Minnesota - Bike MS: C.H. Robinson MS 150 Ride 2013,19263,Corporation,PERISCOPE,16,658.75,8046,7005,1041,0,10000,8046,,0,0,2013
"PAE0EMS120140927CTS - New Jersey, Cherry Hill - Bike MS: City to Shore 2014",22817,Corporate,LiquidHub,17,65,8041,4645,3396,50,8000,8041,,0,0,2014
FLS 2015 Bike MS: Breakaway to Key Largo,24696,Corporate,YMCA,44,790,8037,7545,492,25,5000,8037,,0,0,2015
NYN 2015 Bike MS: New York City,26036,Corporate,Ingalls & Snyder LLC,9,375,8035,7175,860,20,8000,35855,,0,0,2016
Colorado - Bike MS 2013,20901,Corporate,,9,631,8026.95,1755,6271.95,0,2000,8026.95,,0,0,2013
"Missouri, Columbia - Bike MS: Express Scripts Gateway Getaway Ride 2014",22760,Corporate,"GKN Aerospace North America, Inc.",33,800,8021.4,3605,4416.4,50,12500,8021.4,,0,0,2014
NYN 2016 Bike MS: NYC,27764,Corporate,Deloitte,23,1315.52,8021,7651,370,45,10000,18179,2016,1726,8,2017
Pennsylvania - bike MS: Western PA Escape 2013,20526,Corporation,Deloitte,3,70,8020,7640,380,0,25000,8020,,0,0,2013
Colorado - Bike MS 2013,20901,Corporate,,13,858,8015,5760,2255,20,0,8015,2012,8810.5,17,2013
TXH 2017 Bike MS: Dallas,28791,Corporate,Baylor Institute for Rehabilitation,13,280,8007.5,7545,462.5,0,13000,32605.5,2016,13482,25,2017
Pennsylvania - bike MS: Western PA Escape 2013,20526,Corporation,,25,35,8007.5,4145,3862.5,155,0,8007.5,,0,0,2013
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Audubon Engineering,15,1500,8006,7556,450,0,25000,8006,,0,0,2015
NCT 2016 Bike MS: Tour to Tanglewood,27694,Corporate,"Qorvo, Inc",8,310,8004,4005,3999,0,8000,21534,2015,7385,14,2016
ILD Bike MS: Tour de Farms 2013,20718,Corporate,YMCA ,11,131,8001,7206,795,0,20000,8001,,0,0,2013
TXH 2017 Bike MS: BP MS 150,28263,Corporate,,16,0,8000,5046,2954,0,5000,12301,2016,3971,7,2017
NYN 2016 Bike MS: NYC,27764,Corporate,Financial Industry Regulatory Authority,17,320,7995,7930,65,54,15000,27670,2016,14475,21,2017
PAE0EMS120130928CTS - Bike MS: City to Shore Ride 2013,20331,Corporation,Curt's Cyclery,6,295,7995,1680,6315,0,3000,7995,,0,0,2013
"Missouri, Columbia - Bike MS: Express Scripts Gateway Getaway Ride 2014",22760,Corporate,,6,135,7994,6598,1396,0,6000,7994,2013,7875,8,2014
DCW 2014 Bike MS: Ride the Riverside,22016,Corporate,Ernst & Young Bike Team,8,100,7986,7986,0,20,10000,7986,,0,0,2014
Colorado - Bike MS 2013,20901,Corporate,,15,981,7980.57,7755.57,225,50,10000,7980.57,,0,0,2013
TXH 2016 Bike MS: BP MS 150,27003,Corporate,USD Group LLC,10,1060,7970,4170,3800,0,3600,8820,,0,0,2016
VAR 2015 Bike MS: Ride Virginia,25368,Corporate,Scott Insurance,7,245,7969,7919,50,0,10000,7969,,0,0,2015
"Kansas City, KS Bike MS 2014",22790,Corporate,,25,515,7965,4585,3380,30,7500,7965,,0,0,2014
TNS 2015 Bike MS: Jack and Back,25575,Corporate,Symmetry Surgical,7,325,7952,2292,5660,0,0,7952,,0,0,2016
FLS 2016 Bike MS: Breakaway to Key Largo,26536,Corporate,NextEra Energy,11,340,7951,7201,750,0,5000,12748,,0,0,2016
PAE0EMS120150926CTS Bike MS: City to Shore Ride 2015,25223,Corporate,,3,90,7950,7850,100,0,0,27045,,0,0,2015
GAA Bike MS 2016,27759,Corporate,HDH Advisors,16,730,7950,6935,1015,0,5000,7950,,0,0,2017
COC 2016 Bike MS: Colorado,27037,Corporate,Laws Whiskey House,12,687,7947.1,6480,1467.1,30,5000,11782.1,,0,0,2016
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,"GATE, Inc.",10,1000,7935.7,7500.7,435,0,7500,7935.7,,0,0,2015
CAN 2014 Bike MS: Waves to Wine Ride,22900,Corporate,Monsanto,4,206,7931.66,4303.33,3628.33,100,6500,7931.66,2013,4905,6,2014
"TXH Louisiana, Hammond - Bike MS 2015",25876,Corporate,Smoothie King,12,470,7931,7206,725,0,5000,22391,2015,4525,9,2016
"Texas, Houston - 2014 BP MS 150",22598,Corporate,G. Lyon Photography,10,1030,7926,7176,750,0,10000,7926,,0,0,2014
NJM 2017 Bike MS: Coast the Coast,28897,Corporate,OceanFirst Bank,12,330,7924.67,3798,4126.67,150,0,31799.67,2016,12530,28,2017
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,GOYA,14,1460,7924,2324,5600,0,1000,26129,,0,0,2015
COC 2015 Bike MS: Colorado,25572,Corporate,Schlumberger,9,434,7919.36,7084.36,835,65,10000,7919.36,,0,0,2015
"Utah, Logan - Bike MS: 2014",22337,Corporate,,15,444.72,7912.35,5546.45,2365.9,690.31,8000,7912.35,,0,0,2014
"Texas, Houston - 2014 BP MS 150",22598,Corporate,,13,1330,7910,6365,1545,0,5000,7910,,0,0,2014
CAL 2015 Bike MS Coastal Challenge: Santa Monica to Santa Barbara,25958,Corporate,Anacapa Brewing Company,15,460,7902,5147.6,2754.4,305,5000,9388,,0,0,2016
Ohio - Bike MS: Pedal to the Point Ride 2014,23877,Corporate,Team Sherwin-Williams,17,555,7897.5,6075,1822.5,25,10000,7897.5,2013,9050,19,2014
"Michigan, Frankenmuth - Bike MS: Bavarian Breakaway 2014",22389,Corporate,,16,410,7895.5,6545,1350.5,50,0,7895.5,,0,0,2014
"Missouri, Columbia - Bike MS: Express Scripts Gateway Getaway Ride 2014",22760,Corporate,PQ Corporation,14,495,7895,7415,480,10,2500,7895,,0,0,2014
TXH 2016 Bike MS: Dallas,27149,Corporate,Grant Thornton,11,550,7895,7535,360,0,5000,7930,,0,0,2016
Pennsylvania - bike MS: Escape to the Lake 2014,22539,Corporate,Noble Energy Inc,6,125,7883,825,7058,0,7000,7883,,0,0,2014
"Missouri, Columbia  Bike MS: Express Scripts Gateway Getaway Ride 2013",20130,Corporation,,8,200,7875,6545,1330,165,5000,7875,,0,0,2013
Pennsylvania - bike MS: Escape to the Lake 2014,22539,Corporate,Alcoa,12,45,7868,3810,4058,0,0,7868,,0,0,2014
PAE0EMS120130928CTS - Bike MS: City to Shore Ride 2013,20331,Corporation,Quest Diagnostics,8,465,7850,6075,1775,170,5000,7850,,0,0,2013
COC 2017 Bike MS Colorado,28914,Corporate,CFC,12,841,7847.5,6092.5,1755,0,15000,19767.5,2016,11920,17,2017
"Utah, Logan - Bike MS: 2014",22337,Corporate,,13,408.88,7846.14,5284.38,2561.76,525,6370,7846.14,,0,0,2014
WAS 2014 Bike MS - Washington,23318,Corporate,"Shannon & Wilson, Inc.",14,622.22,7844,5344,2500,0,10000,7844,2013,4965,12,2014
UTU 2015 Bike MS: Harmon's Best Dam Bike Ride,24736,Corporate,,7,155,7840,1710,6130,0,1000,30780,,0,0,2015
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Houston Northwest Medical Center,21,2100,7836.55,5073.25,2763.3,0,12000,7836.55,,0,0,2013
COC 2016 Bike MS: Colorado,27037,Corporate,DrillingInfo,14,813.05,7835,6480,1355,0,0,15085,2015,3925,8,2016
"Oregon, Portland - Bike MS 2014",22739,Corporate,ACME Business Consultants,5,140,7810,7560,250,0,0,7810,,0,0,2014
COC 2017 Bike MS Colorado,28914,Corporate,RockPile Energy Services,8,474,7804.5,7304.5,500,100,5000,24924.5,2016,7185,5,2017
UTU 2017 Bike MS: Logan,28813,Corporate,Infinite Scale,10,590,7800,7520,280,0,7000,7800,,0,0,2017
"Florida, Ponte Vedra - Bike MS: PGA TOUR Cycle to the Shore 2014",22906,Corporate,Invitation Homes,9,465,7797,3291,4506,0,10000,7797,,0,0,2014
TXH 2017 Bike MS: Dallas,28791,Corporate,Karbach Brewing Co.,15,730,7781.34,7285,496.34,0,1200,7816.34,,0,0,2017
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Audubon Engineering,13,1330,7775,6850,925,0,15000,7775,,0,0,2014
UTU 2015 Bike MS: Harmon's Best Dam Bike Ride,24736,Corporate,BD medical,24,930,7775,2405,5370,0,6300,17025,,0,0,2015
Colorado - Bike MS 2013,20901,Corporate,,19,1433,7765,6905,860,70,6900,7765,,0,0,2013
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Frost Bank,9,930,7765,7065,700,0,20000,26125,,0,0,2015
TNS 2015 Bike MS: Jack and Back,25575,Corporate,,16,255,7762,6905,857,100,0,52091,,0,0,2016
Colorado - Bike MS 2013,20901,Corporate,Great-West Financial,7,202,7760.99,3505.99,4255,0,25000,7760.99,,0,0,2013
Ohio - Bike MS: Pedal to the Point Ride 2013,20976,Corporate,Ernst & Young,11,225,7760,7285,475,0,12000,7760,,0,0,2013
MOS 2017 Bike MS: Gateway Getaway Ride,28272,Corporate,Artur Express Inc,8,450,7760,7405,355,0,10000,7760,,0,0,2017
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Pennebaker,5,500,7755,6130,1625,150,8000,7755,,0,0,2014
MOS 2015 Bike MS: Express Scripts Gateway Getaway Ride,25028,Corporate,Raymond James,10,185,7750,2420,5330,0,7250,14985,,0,0,2015
WAS 2015 Bike MS: Deception Pass Classic,25436,Corporate,Deloitte Bike Team,14,75,7749,7474,275,0,15000,21200,,0,0,2015
Colorado - Bike MS 2013,20901,Corporate,CBS4,19,1276,7745.33,5814.33,1931,420,10000,7745.33,,0,0,2013
NCT 2016 Bike MS: Historic New Bern Ride,27695,Corporate,Onslow Memorial Hospital,17,608,7745,3145,4600,0,10000,19095,2015,6770,16,2016
"Texas, Houston - 2014 BP MS 150",22598,Corporate,,18,2310,7744.06,7224.06,520,0,0,7744.06,,0,0,2014
CAN 2015 Bike MS: Waves to Wine Ride,25199,Corporate,,8,307.5,7740,6615,1125,0,5500,7740,,0,0,2015
"New Jersey, Lambertville - Hops to Hops Bike MS 2013",21706,Corporate,Integra LifeSciences,18,695,7737,4937,2800,0,15000,7737,,0,0,2013
NYN 2012 Bike MS New York City,18354,Corporation,,19,733.28,7732,4487,3245,15,15000,7732,,0,0,2013
"Utah, Logan - Bike MS 2013 - Harmons Best Dam Bike Ride",19245,Corporation,,11,208.28,7731,6356,1375,0,10000,7731,,0,0,2013
NYN 2012 Bike MS New York City,18354,Corporation,Citi,10,540,7730,7430,300,0,5000,7730,,0,0,2013
Pennsylvania - bike MS: Cook Forest River Ride 2014,23268,Corporate,BNY Mellon,4,65,7723,220,7503,335,7500,7723,,0,0,2014
"Texas, Houston - 2014 BP MS 150",22598,Corporate,,16,1500,7720,7190,530,0,0,7720,,0,0,2014
PAE0EMS120150926CTS Bike MS: City to Shore Ride 2015,25223,Corporate,McGladrey LLP,11,450,7720,7720,0,0,7500,16165,,0,0,2015
WIG 2017 Bike MS: Wisconsin,28198,Corporate,Ace Precision Machining Corp,12,10,7720,3935,3785,0,0,23954,2016,7570,9,2017
PAE0EMS120130928CTS - Bike MS: City to Shore Ride 2013,20331,Corporation,"McKee Risk Management, Inc.",7,225,7720,7290,430,0,5000,7720,,0,0,2013
NCT 2015 Bike MS: Historic New Bern Ride,25674,Corporate,Duke Energy,20,680,7717.5,3970,3747.5,200,50000,29455.98,,0,0,2015
WAS 2016 Bike MS: Cycle the Silver Valley,27171,Corporate,,16,637.5,7715,6440,1275,0,0,25496.56,2015,12681.56,18,2016
CAN 2017 Bike MS: Waves to Wine Ride,28894,Corporate,PG&E,9,385,7711,6751,960,100,6000,24052.67,2016,10456.67,14,2017
"Florida, St. Augustine - Bike MS: PGA TOUR Cycle to the Shore 2013",20286,Corporation,Barton Malow Company,8,175,7710,6510,1200,0,10000,7710,,0,0,2013
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Patterson & Sheridan,12,1200,7708.88,6795,913.88,0,7000,7708.88,2012,6539.42,17,2013
"California, Santa Monica - Bike MS: Coastal Challenge 2014",23843,Corporate,Modern Family,10,316.04,7706,7706,0,0,7000,7706,,0,0,2015
CAN 2017 Bike MS: Waves to Wine Ride,28894,Corporate,Stanford Univ.,11,411.5,7700,5835,1865,120,5000,16313,2016,6875,9,2017
"Southampton, New York- Bike MS 2014",22971,Corporate,,2,100,7695,7545,150,0,3000,7695,,0,0,2014
FLN 2016 Bike MS: PGA TOUR Cycle to the Shore,27711,Corporate,ImageFIRST,7,385,7690,7335,355,210,5000,7690,,0,0,2017
Colorado - Bike MS 2014,22980,Corporate,ALTUS Environmental,6,0,7687,7398,289,0,5000,7687,,0,0,2014
TXH 2017 Bike MS: BP MS 150,28263,Corporate,"Trelleborg Offshore US, Inc.",9,1065,7680,7120,560,0,10000,7680,,0,0,2017
COC 2016 Bike MS: Colorado,27037,Corporate,CBS4,12,739.5,7673,7063,610,25,0,17202,2015,5366,14,2016
Pennsylvania - bike MS: Western PA Escape 2013,20526,Corporation,ANSYS,4,70,7657.5,600,7057.5,0,5000,7657.5,,0,0,2013
"Texas, Houston - 2013 BP MS 150",20226,Corporate,,18,1700,7650,7550,100,0,10000,7650,,0,0,2013
MOS 2015 Bike MS: Express Scripts Gateway Getaway Ride,25028,Corporate,JW Terrill,3,0,7647,7342,305,0,10000,7647,,0,0,2015
TNS 2015 Bike MS: Jack and Back,25575,Corporate,,7,70,7638,5093,2545,0,0,11158,,0,0,2016
"Texas, Houston - 2013 BP MS 150",20226,Corporate,,13,1300,7620.46,6860.46,760,0,25000,7620.46,,0,0,2013
CAS Bike MS 2014,23956,Corporate,Cianna Medical Inc,3,0,7615,7365,250,0,10000,7615,,0,0,2015
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Barrios Technology,10,1090,7609.4,5671,1938.4,0,10000,7609.4,,0,0,2014
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Viking Oil Tools,4,400,7607.6,5507.6,2100,0,5000,7607.6,,0,0,2014
"NJM New Jersey, Oakhurst - Bike MS: Coast the Coast 2015",25596,Corporate,Johnson & Johnson,5,270,7605,3570,4035,240,2500,7701,,0,0,2015
NYN 2014 Bike MS New York City,23928,Corporate,Meridiam Cycling Team,10,500,7605,6255,1350,0,10000,7605,,0,0,2015
NYN 2014 Bike MS New York City,23928,Corporate,Skanska USA,17,885,7605,7055,550,0,7500,7605,,0,0,2015
COC 2016 Bike MS: Colorado,27037,Corporate,KPMG,5,380.4,7605,6530,1075,0,7000,10890,2015,3285,8,2016
MDM 2017 Bike MS: Chesapeake Challenge,28915,Corporate,,5,200.17,7598,6048,1550,0,10000,9398,2016,300,1,2017
CAS 2016 Bike MS: Bay to Bay,27876,Corporate,Team Ted Ventegra,7,140,7595,6645,950,0,10000,32040,2016,9935,10,2017
"PAX 2015 Bike MS: Escape to Lake presented by FedEx Ground, 30th Anniversary Ride",25779,Corporate,Westinghouse Electric Company,16,305,7591,6555,1036,70,7000,8591,,0,0,2015
DCW 2013 Bike MS,19164,Corporation,Teknion,11,85,7588,6293,1295,0,20000,7588,,0,0,2013
Rhode Island - Bike MS: Ride the Rhode 2013,19444,Corporation,,10,830,7587.69,4887.69,2700,0,0,7587.69,,0,0,2013
NYN 2013 Bike MS New York City,21176,Corporate,,16,437.08,7586,7146,440,0,15000,7586,,0,0,2014
UTU 2015 Bike MS: Harmon's Best Dam Bike Ride,24736,Corporate,Snowbird Corp,6,225,7580,4855,2725,0,5000,21005,,0,0,2015
"New Bern, NC - Bike MS 2013",20780,Corporate,Beavers Family Dentistry-Apex NC,21,715,7576,5661,1915,60,5000,7576,,0,0,2013
TXH 2016 Bike MS: BP MS 150,27003,Corporate,ION Geophysical,7,600,7575,6725,850,0,0,34699.12,2015,17540,20,2016
DED Bike MS: Bike to the Bay 2015,25198,Corporate,Agilent TEchnologies,25,140,7570,4095,3475,0,7500,12620,,0,0,2015
MOS 2015 Bike MS: Express Scripts Gateway Getaway Ride,25028,Corporate,Moneta Group,10,315,7570,6620,950,0,5000,53670,,0,0,2015
WIG 2016 Bike MS: Wisconsin - USE,27039,Corporate,Ace Precision Machining Corp,11,55,7570,4585,2985,0,0,23954,2015,8664,13,2016
CAS Bike MS 2015,26037,Corporate,Geosyntec Consultants,3,160,7565,7565,0,0,3200,17018,,0,0,2016
"Texas, San Antonio - Bike MS 2013",21526,Corporate,P2 Energy Solutions,11,310,7551.52,6320.52,1231,0,5000,7551.52,,0,0,2014
Ohio - Bike MS: Pedal to the Point Ride 2013,20976,Corporate,,25,1800,7550,250,7300,0,0,7550,,0,0,2013
CAN 2016 Bike MS: Waves to Wine Ride,27080,Corporate,Rocket Fuel,4,180.32,7548,7133,415,0,15000,7548,,0,0,2016
CAN 2015 Bike MS: Waves to Wine Ride,25199,Corporate,Waste Management,10,200.8,7536,7146,390,0,7000,8236,,0,0,2015
GAA Bike MS 2016,27759,Corporate,OrthoAtlanta,13,690,7535,5885,1650,0,5000,7535,,0,0,2017
Massachusetts - Bike MS: Bike and Hike the Berkshires 2013,21279,Corporate,MIT Lincoln Laboratory,13,35,7528,6075,1453,0,10000,7528,,0,0,2013
CAS Bike MS 2013 - San Diego,21507,Corporate,FedEx Bike Team,13,270,7525,5900,1625,350,10000,7525,,0,0,2014
TXH 2016 Bike MS: BP MS 150,27003,Corporate,DOF Subsea,12,1290,7523,6905,618,0,8000,29325.49,2015,21802.49,15,2016
TXH 2016 Bike MS: Hammond,27905,Corporate,,16,471,7520,5770,1750,0,17300,28471.75,2016,16631.75,19,2017
FLN 2015 Bike MS: PGA TOUR Cycle to the Shore,25681,Corporate,,25,1210,7519,6183,1336,165,0,14963,2014,1601,8,2016
TXH 2017 Bike MS: BP MS 150,28263,Corporate,SpeedCast,11,1000,7515,6900,615,0,30000,34888.77,2016,12070.32,19,2017
TXH 2016 Bike MS: BP MS 150,27003,Corporate,Dog House,9,930,7510,6360,1150,0,0,21945,2015,14035,9,2016
CAS 2016 Bike MS: Bay to Bay,27876,Corporate,Thales,13,640,7500,6480,1020,105,10000,25862,2016,4991,20,2017
WAS 2015 Bike MS: Deception Pass Classic,25436,Corporate,Evergreen Healthcare,4,125,7490,7035,455,225,2000,13285,,0,0,2015
TXH 2016 Bike MS: BP MS 150,27003,Corporate,Credera,9,900,7490,7400,90,0,10000,7490,,0,0,2016
"Utah, Logan - Bike MS 2013 - Harmons Best Dam Bike Ride",19245,Corporation,,5,225,7485,1945,5540,0,5000,7485,,0,0,2013
CAN 2015 Bike MS: Waves to Wine Ride,25199,Corporate,Livefyre,11,409.76,7475,5370,2105,0,15000,11481,,0,0,2015
GAA Bike MS 2016,27759,Corporate,Hayward Baker Inc.,9,320,7460,6660,800,0,10000,16300,2015,8840,8,2017
FLC 2016 Bike MS: The Citrus Tour,27190,Corporate,"AssistRx, Inc.",7,360,7455,1885,5570,0,2500,12996.54,2015,5541.54,13,2016
PAE 2017 Bike MS: City to Shore Ride - CTS,28216,Corporate,The RES Forum,3,160,7455,7455,0,0,10000,31820,2016,14270,8,2017
PAE0EMS120130928CTS - Bike MS: City to Shore Ride 2013,20331,Corporation,Lipman Produce,21,0,7455,0,7455,0,5700,7455,,0,0,2013
NCC 2013 Bike MS Tour to Tanglewood,21238,Corporate,hondajet,48,1220,7450,3805,3645,0,10000,7450,2012,4230,25,2013
Ohio - Bike MS: Central Ohio Challenge 2013,21476,Corporate,Cardinal Health,10,195,7445,2320,5125,0,3000,7445,,0,0,2013
Ohio - Bike MS: Pedal to the Point Ride 2014,23877,Corporate,CDW Direct,7,135,7444.13,5945,1499.13,0,9000,7444.13,,0,0,2014
PAE0EMS120150926CTS Bike MS: City to Shore Ride 2015,25223,Corporate,Saul Ewing LLP,16,640,7441,6886,555,0,10000,14451,,0,0,2015
MNM 2017 Bike MS: MS 150 Ride,28105,Corporate,,11,92.5,7441,5511,1930,0,0,8191,,0,0,2017
TNS 2013 Bike to Jack and Back,20496,Corporation,,17,420,7436,2964,4472,0,0,7436,,0,0,2014
CAN 2017 Bike MS: Waves to Wine Ride,28894,Corporate,Zuora,11,940,7426,6503,923,0,3500,7426,,0,0,2017
NYN 2014 Bike MS New York City,23928,Corporate,"Sberbank CIB, USA Inc.",15,750,7425,6955,470,0,15000,7425,,0,0,2015
MDM 2017 Bike MS: Chesapeake Challenge,28915,Corporate,DLR Group,4,120.17,7425,7425,0,0,5000,7525,,0,0,2017
Massachusetts - Bike MS: Bike and Hike the Berkshires 2014,24004,Corporate,MIT Lincoln Laboratory,8,0,7420,5655,1765,0,5000,7420,,0,0,2014
TXH 2016 Bike MS: BP MS 150,27003,Corporate,Foster Wheeler USA Corporation,12,1100,7416,7206,210,0,30000,68009.3,2015,60593.3,47,2016
CTN 2016 Bike MS: Norwalk,27507,Corporate,,12,680,7413,5420,1993,0,0,25353,2015,11410,27,2016
NYN 2016 Bike MS: NYC,27764,Corporate,inVentiv Health,10,485.26,7410.9,6700.45,710.45,0,7500,17993.9,2016,5270,8,2017
NYN 2013 Bike MS New York City,21176,Corporate,Razorfish,17,845,7405.21,6870.21,535,50,2000,7405.21,,0,0,2014
"California, Santa Monica - Bike MS: Coastal Challenge 2014",23843,Corporate,Team In Motion / NMSS,17,150,7391.32,4627.32,2764,0,10000,7391.32,2014,10107,18,2015
CAS Bike MS 2013 - San Diego,21507,Corporate,San Diego County District Attorneys Office,9,180,7391,7146,245,0,7500,7391,2013,6110,6,2014
